Fecha;"PM2,5
μg/m3";"Xileno
μg/m3";"SO 2
μg/m3";"CO
mg/m3";"NO
μg/m3";N02;"PM10
μg/m3";"NO x
μg/m3";"Ozono
μg/m3";"Tolueno
μg/m3";"Benceno
μg/m3";"Ruido
dBA"
01-01-19;15;2,3;5;0,4;30;44;25;91;17;3,8;1,5;59
02-01-19;17;4,3;6;0,3;55;58;33;142;8;6,9;1,9;60
03-01-19;18;4,9;6;0,3;53;59;34;140;7;10,5;1,9;61
04-01-19;21;4;5;0,3;41;53;35;115;10;10,3;1,7;69
05-01-19;21;2,2;5;0,1;28;39;42;81;19;5,1;1,3;
06-01-19;19;2,3;5;0,2;37;47;40;103;17;3,9;1,7;
07-01-19;18;5,6;9;0,3;82;67;40;193;12;9,7;2,6;
08-01-19;23;7;6;;58;60;39;148;12;11,7;1,9;62
09-01-19;16;4;4;;37;41;38;98;27;9,1;1,2;59
10-01-19;7;3,5;6;0,3;28;46;23;88;39;5,1;0,9;57
11-01-19;16;8,1;11;0,3;69;66;45;172;26;4,6;1,9;57
12-01-19;16;;5;0,5;37;59;35;115;22;;;58
13-01-19;13;;5;;28;46;32;88;23;;;58
14-01-19;12;;7;0,2;59;59;34;150;15;;;59
15-01-19;19;;8;0,2;77;61;37;179;14;;;60
16-01-19;32;;7;;76;64;49;180;12;;;61
17-01-19;40;;8;;85;62;70;193;11;;;
18-01-19;16;;4;;43;56;35;121;18;;;61
19-01-19;14;;4;0,2;16;36;30;60;32;;;59
20-01-19;13;;5;0,1;18;36;21;63;24;;;59
21-01-19;6;;5;0,1;35;44;19;98;33;;;58
22-01-19;9;;4;0,1;9;24;25;37;46;;;57
23-01-19;5;;4;0,1;7;19;34;29;55;;;60
24-01-19;3;;4;0,1;6;16;19;26;66;;;60
25-01-19;2;;4;0,1;11;25;11;42;52;;;60
26-01-19;9;;6;0,1;26;40;22;79;32;;;59
27-01-19;6;;4;0,1;6;20;25;28;53;;;57
28-01-19;6;;5;0,2;12;28;40;46;49;;;58
29-01-19;8;;5;0,1;14;24;34;45;50;;;59
30-01-19;5;;5;0,1;17;25;23;50;54;;;58
31-01-19;5;;4;0,1;7;13;35;23;59;;;62
01-02-19;7;;4;0,1;6;11;49;21;73;;;63
02-02-19;4;;4;0,2;4;9;24;16;78;;;63
03-02-19;4;;5;0,3;4;8;32;13;77;;;62
04-02-19;8;;7;0,2;24;47;23;83;40;;;57
05-02-19;16;0,9;6;0,1;40;56;36;117;21;5,2;;58
06-02-19;20;2,5;5;0,1;41;56;38;119;18;8,6;;59
07-02-19;19;3,6;5;0,1;40;51;35;112;19;9,3;4,4;61
08-02-19;;1,7;5;0,2;35;54;;108;22;8,5;3,4;62
09-02-19;;1,2;5;0,2;24;45;;82;28;5,4;1,7;62
10-02-19;9;0,4;4;0,1;5;14;26;21;52;1,4;0,6;61
11-02-19;11;1,4;7;0,1;42;48;24;112;34;7,7;2,4;60
12-02-19;12;1,2;4;0,2;36;54;26;109;27;6,6;2;60
13-02-19;16;3,3;6;0,2;44;55;34;123;27;12,7;3,8;60
14-02-19;13;0,8;4;0,1;25;53;27;91;34;7;3,5;60
15-02-19;;0,6;4;0,1;23;54;;89;32;5,9;2,8;61
16-02-19;;0,5;4;0,1;14;41;;63;44;5,1;1,6;
17-02-19;;0,2;4;0,1;7;25;;35;58;2,4;0,9;
18-02-19;18;0,4;6;;26;46;29;86;50;4,9;1,9;
19-02-19;25;0,6;5;;22;49;39;83;43;6,7;2,3;
20-02-19;26;0,6;5;;22;51;39;85;43;5,9;2,3;
21-02-19;35;2,1;5;;37;64;52;121;27;9,3;2,9;
22-02-19;37;3,4;6;0,5;52;68;74;147;23;11,4;3;62
23-02-19;30;1,4;4;0,3;17;45;56;72;38;6,2;1,9;59
24-02-19;28;0,5;4;0,2;8;37;41;50;53;4;1,4;60
25-02-19;26;2,2;6;0,2;28;53;42;96;34;6,7;2,5;61
26-02-19;22;1,4;6;0,3;32;60;41;109;32;7,3;4,2;58
27-02-19;24;2,5;6;0,4;55;76;59;160;25;12,3;3,4;59
28-02-19;22;2,3;6;0,4;39;64;45;124;32;10,2;2,7;57
01-03-19;25;2,3;7;0,2;30;57;35;103;41;7;2,2;59
02-03-19;28;0,8;5;0,2;17;49;39;75;41;5,6;1,8;60
03-03-19;16;0,5;5;0,2;21;42;28;74;43;5,2;1,8;58
04-03-19;;0,2;4;0,1;10;21;;36;59;2,5;1;58
05-03-19;18;0,6;5;0,1;15;33;30;56;53;3,6;1,3;60
06-03-19;25;1,1;5;0,1;19;36;44;65;39;5,8;2,3;61
07-03-19;4;0,3;5;0,4;12;26;12;45;60;2,5;0,9;61
08-03-19;11;0,4;7;0,5;26;52;23;91;40;5,4;1,8;59
09-03-19;18;0,4;6;0,5;14;44;31;65;50;4,5;1,5;60
10-03-19;17;0,4;4;0,3;13;41;31;60;43;4,8;1,6;59
11-03-19;14;2,4;5;0,2;31;51;29;98;33;6,6;2,9;60
12-03-19;16;1,5;5;0,2;20;45;34;75;38;6,6;2,4;60
13-03-19;15;1;6;0,3;23;43;32;78;43;5,4;2,4;60
14-03-19;11;1;7;0,5;18;42;29;69;51;4,1;1,9;60
15-03-19;24;1,4;7;0,4;34;56;51;108;35;9,1;3,8;61
16-03-19;37;1,5;8;0,2;19;44;58;73;48;5,3;1,8;63
17-03-19;26;2,5;5;0,2;16;31;67;55;64;5,3;1,7;64
18-03-19;13;0,3;7;0,3;10;28;34;43;65;2;0,8;62
19-03-19;16;0,2;6;0,3;7;25;32;36;64;2,4;0,9;63
20-03-19;12;0,3;5;0,3;16;31;21;55;59;2,5;1;61
21-03-19;13;0,3;5;0,3;21;38;25;71;62;2,6;1,2;59
22-03-19;15;0,3;5;0,4;12;41;29;60;75;3,8;1,5;59
23-03-19;22;0,3;6;0,3;10;46;34;61;61;3,6;1,3;58
24-03-19;20;0,4;4;0,3;12;35;33;53;58;4;1,2;58
25-03-19;19;0,4;6;0,3;26;54;39;94;45;5,8;2,8;57
26-03-19;16;1,9;4;0,3;16;40;31;64;58;4,5;2,9;58
27-03-19;13;0,3;5;0,3;16;45;30;69;58;4,1;2,1;58
28-03-19;13;0,5;6;0,3;21;45;28;77;60;5,6;1,7;58
29-03-19;14;0,8;5;0,2;16;41;25;66;72;3,9;2,7;59
30-03-19;14;0,2;4;0,2;6;24;22;34;82;2,1;0,9;59
31-03-19;12;0,2;4;0,1;2;12;14;16;85;0,7;0,4;64
01-04-19;15;0,3;4;0,1;10;33;21;47;73;3,4;1,1;62
02-04-19;22;1,4;5;0,2;29;50;30;94;22;6,4;3,4;62
03-04-19;11;1,1;5;0,2;19;26;17;56;59;3,9;1,4;62
04-04-19;6;0,4;5;0,3;12;30;12;49;63;2,5;1;60
05-04-19;10;1,5;5;0,2;23;37;16;71;49;4,8;1,4;62
06-04-19;1;0,2;4;0,3;4;11;3;17;81;0,7;0,4;62
07-04-19;1;0,2;4;0,4;3;9;2;13;86;0,8;0,5;58
08-04-19;2;0,2;5;0,2;9;18;6;32;64;1,4;0,7;58
09-04-19;3;0,2;4;0,3;6;16;9;25;75;1,2;0,9;59
10-04-19;2;0,3;4;0,3;9;26;7;39;64;2,3;1,1;58
11-04-19;7;0,4;5;0,2;13;36;16;56;61;3,4;1,6;58
12-04-19;10;0,4;5;0,3;15;41;19;64;66;3,4;1,3;59
