Informe de evolución anual. Períodos diarios,,,,,,,,,,,
Estación: Bulevard Sud Período: Año 2018,,,,,,,,,,,
"Contaminante
Fecha","SO 2
μg/m3","NO
μg/m3","NO 2
μg/m3","PM10
μg/m3","Ni
ng/m3","NO x
μg/m3","Ozono
μg/m3","As
ng/m3","Pb
μg/m3","BaP
ng/m3","Cd
ng/m3"
01-01-18,4,,,19,"9,12",,68,"0,28","0,01",,"0,08"
02-01-18,4,7,6,,,15,50,,,,
03-01-18,5,4,10,,,16,37,,,,
04-01-18,5,3,9,,,13,41,,,,
05-01-18,4,4,16,23,,21,43,,,,
06-01-18,5,8,25,18,,37,28,,,"0,1",
07-01-18,5,6,18,12,"6,61",27,44,"0,14","0,01",,"0,03"
08-01-18,6,22,36,28,"5,22",70,21,"0,42","0,01",,"0,38"
09-01-18,4,6,19,15,,28,35,,,,
10-01-18,3,5,16,12,,23,47,,,,
11-01-18,4,5,18,12,"4,87",26,53,"0,01","0,01",,"0,01"
12-01-18,5,9,28,15,,42,32,,,,
13-01-18,5,8,27,22,"6,67",39,30,"0,28","0,01",,"0,13"
14-01-18,5,12,21,,,40,45,,,,
15-01-18,6,12,27,,,45,33,,,,
16-01-18,4,3,14,14,"5,56",19,46,"0,28","0,01",,"0,04"
17-01-18,5,26,35,27,,75,29,,,,
18-01-18,6,23,40,36,"21,67",75,26,"0,42","0,01",,"0,29"
19-01-18,6,39,44,40,,103,21,,,,
20-01-18,4,6,17,16,"4,58",25,44,"0,14","0,01",,"0,06"
21-01-18,4,3,12,11,,16,48,,,,
22-01-18,5,12,25,21,"10,42",44,27,"0,28","0,01",,"0,07"
23-01-18,8,32,35,,,83,21,,,,
24-01-18,7,25,36,39,,73,22,,,,
25-01-18,4,9,26,,,39,24,,,,
26-01-18,4,11,26,,,43,29,,,,
27-01-18,4,10,20,14,,34,39,,,,
28-01-18,4,2,7,22,,10,55,,,,
29-01-18,8,46,50,,,120,25,,,,
30-01-18,9,58,60,34,,149,22,,,,
31-01-18,6,34,58,,,110,29,,,,
