Informe de evolución anual. Períodos diarios,,,,,,,,,,,,
Estación: Pista de Silla Período: Año 2020,,,,,,,,,,,,
"Contaminante
Fecha","PM2,5
μg/m3","Xileno
μg/m3","SO 2
μg/m3","CO
mg/m3","NO
μg/m3","NO 2
μg/m3","PM10
μg/m3","NO x
μg/m3","Ozono
μg/m3","Tolueno
μg/m3","Benceno
μg/m3","Ruido
dBA"
01-01-20,26,"4,4",4,"0,3",20,31,29,61,17,"8,4","2,9",60
02-01-20,27,"9,9",7,"0,2",42,41,33,105,14,"16,1","4,4",61
03-01-20,33,"10,9",6,"0,3",52,43,38,123,13,"17,2","4,9",62
04-01-20,20,8,5,"0,3",34,41,24,93,15,"12,7","4,2",62
05-01-20,12,5,4,"0,3",16,33,15,58,20,"8,6","2,5",61
06-01-20,15,"5,5",6,"0,3",28,36,19,78,21,"9,2","3,5",59
07-01-20,24,15,7,"0,3",66,51,33,153,13,"21,3","5,8",61
08-01-20,29,20,12,"0,3",110,53,39,222,13,"31,6",8,62
09-01-20,23,"13,3",5,"0,2",50,50,30,127,14,"22,9","4,9",62
10-01-20,17,"10,3",4,"0,2",35,42,29,95,19,"15,7",4,61
11-01-20,8,"6,4",5,"0,3",31,43,13,90,24,"10,3","3,4",60
12-01-20,14,"5,5",4,"0,3",26,39,19,79,21,"9,9","3,1",60
13-01-20,21,"17,1",10,"0,4",73,56,34,167,16,"21,8","6,2",60
14-01-20,21,"15,8",8,"0,4",72,66,34,177,12,"30,1","6,3",60
15-01-20,23,"15,6",10,"0,4",73,61,36,173,15,"23,9","6,1",60
16-01-20,23,"19,7",6,"0,2",89,67,32,203,13,"34,5","7,4",62
17-01-20,11,"7,3",4,"0,3",22,40,28,74,27,"11,6","2,6",60
18-01-20,9,"6,4",4,"0,2",20,35,18,66,25,"9,8","2,8",59
19-01-20,3,"1,1",4,"0,1",5,10,5,17,49,"2,5","0,9",67
20-01-20,1,"0,8",4,"0,2",4,7,1,12,53,"2,6",1,75
21-01-20,25,4,6,"0,2",20,33,38,63,35,"7,7","2,4",62
22-01-20,18,"2,9",4,"0,1",7,25,28,36,40,"5,7","1,4",57
23-01-20,27,8,8,"0,2",34,41,53,93,19,"13,4","3,7",63
24-01-20,34,9,8,"0,2",46,49,60,120,21,"16,6","3,7",63
25-01-20,36,12,4,"0,2",18,36,56,63,24,16,"2,8",63
26-01-20,16,"4,8",4,"0,2",18,35,24,62,19,"8,9","2,6",61
27-01-20,6,4,4,"0,3",11,21,11,38,36,"7,1","1,5",61
28-01-20,4,"3,2",5,"0,2",9,17,7,31,39,"5,6","1,3",60
29-01-20,3,"3,9",4,"0,2",10,21,6,36,32,"12,4","1,3",59
30-01-20,4,"3,9",4,"0,2",10,20,8,36,35,"15,5","1,2",59
31-01-20,4,4,4,"0,2",12,22,9,40,31,"7,1","1,6",59
Días con datos,31,31,31,31,31,31,31,31,31,31,31,31
Promedio,17,"8,3",6,"0,2",34,38,26,90,24,"14,1","3,5",61
Fuente: Conselleria de Medio Ambiente,,,,,,,,,,,,

Informe de evolución anual. Períodos diarios,,,,,,,,,,,,
Estación: Pista de Silla Período: Año 2020,,,,,,,,,,,,
"Contaminante
Fecha","PM2,5
μg/m3","Xileno
μg/m3","SO 2
μg/m3","CO
mg/m3","NO
μg/m3","NO 2
μg/m3","PM10
μg/m3","NO x
μg/m3","Ozono
μg/m3","Tolueno
μg/m3","Benceno
μg/m3","Ruido
dBA"
01-02-20,2,3,4,"0,1",9,18,4,33,27,13,"1,3",60
02-02-20,4,"3,2",5,"0,2",12,18,7,37,24,"10,8","1,6",60
03-02-20,12,"16,5",8,"0,3",57,45,26,132,11,"25,8","5,3",60
04-02-20,15,"12,6",5,"0,3",37,41,34,98,14,"22,7","3,7",58
